{Label: GearOilTemperature_val, Match: hasInputOilAverageTemperature, Ontology: PlatoonWindturbine.txt, Score: 1}
{Label: GearboxOilInletTemperature_val, Match: hasInputOilMinimumTemperature, Ontology: PlatoonWindturbine.txt, Score: 1}
{Label: GearboxOilInletPressure_val, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: HssGearBearingGenSideTemperature_val, Match: hasTemperatureGeneratorSide, Ontology: PlatoonWindturbine.txt, Score: 1}
{Label: GearboxRotationSpeed_val, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: GearboxOilPumpPressure_val, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: DeltaOilTemperature, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: RatioOilGearTemperature, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: Time [s], Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: Nacelle_Anemometer [m/s], Match: noMatch, Ontology: noMatch file name, Score: 0}
Here are the mappings for the provided labels:

1. {Label: Nacelle_Vane [deg], Match: Vane, Ontology: PlatoonWindturbine, Score: 0.8}
2. {Label: PitchControl_AccumulatorsOK, Match: noMatch, Ontology: noMatch file name, Score: 0}
3. {Label: PitchControl_Boost, Match: Boost Converter, Ontology: EnershareWindturbine, Score: 1}
4. {Label: PitchControl_EV1, Match: noMatch, Ontology: noMatch file name, Score: 0}
5. {Label: PitchControl_EV2, Match: noMatch, Ontology: noMatch file name, Score: 0}
6. {Label: PitchControl_EV3, Match: noMatch, Ontology: noMatch file name, Score: 0}
7. {Label: PitchControl_EV4, Match: noMatch, Ontology: noMatch file name, Score: 0}
8. {Label: PitchControl_EV5, Match: noMatch, Ontology: noMatch file name, Score: 0}
9. {Label: PitchControl_EV6, Match: noMatch, Ontology: noMatch file name, Score: 0}
10. {Label: PitchControl_Enable, Match: noMatch, Ontology: noMatch file name, Score: 0}

These mappings were based on the available ontologies provided in the uploaded files.
{Label: PitchControl_PV_Blade1, Match: Pitch Proportional Valve, Ontology: EnershareWindturbine.txt, Score: 1}
{Label: PitchControl_PV_Blade2, Match: Pitch Proportional Valve, Ontology: EnershareWindturbine.txt, Score: 1}
{Label: PitchControl_PV_Blade3, Match: Pitch Proportional Valve, Ontology: EnershareWindturbine.txt, Score: 1}
{Label: PitchControl_Position_Blade1 [m], Match: noMatch, Ontology: noMatch, Score: 1}
{Label: PitchControl_Position_Blade2 [m], Match: noMatch, Ontology: noMatch, Score: 1}
{Label: PitchControl_Position_Blade3 [m], Match: noMatch, Ontology: noMatch, Score: 1}
{Label: PitchControl_Position_Reference [m], Match: noMatch, Ontology: noMatch, Score: 1}
{Label: PitchControl_Pressure_A1_Blade1 [bar], Match: noMatch, Ontology: noMatch, Score: 1}
{Label: PitchControl_Pressure_A1_Blade2 [bar], Match: noMatch, Ontology: noMatch, Score: 1}
{Label: PitchControl_Pressure_A1_Blade3 [bar], Match: noMatch, Ontology: noMatch, Score: 1}
Here are the mappings for the provided labels:

1. {Label: PitchControl_Pressure_A2_Blade1 [bar], Match: noMatch, Ontology: noMatch, Score: 1}
2. {Label: PitchControl_Pressure_A2_Blade2 [bar], Match: noMatch, Ontology: noMatch, Score: 1}
3. {Label: PitchControl_Pressure_A2_Blade3 [bar], Match: noMatch, Ontology: noMatch, Score: 1}
4. {Label: PitchControl_Status, Match: noMatch, Ontology: noMatch, Score: 1}
5. {Label: PitchControl_TrackingOK, Match: noMatch, Ontology: noMatch, Score: 1}
6. {Label: PowerUnit_Pressure [bar], Match: noMatch, Ontology: noMatch, Score: 1}
7. {Label: TurbineControl_Enable, Match: noMatch, Ontology: noMatch, Score: 1}
8. {Label: TurbineControl_GeneratorPower [W], Match: noMatch, Ontology: noMatch, Score: 1}
9. {Label: TurbineControl_GeneratorSpeed [rpm], Match: noMatch, Ontology: noMatch, Score: 1}
10. {Label: TurbineControl_GeneratorTorque [kNm], Match: noMatch, Ontology: noMatch, Score: 1}
{Label: TurbineControl_PitchAngleDemand [deg], Match: Pitch Proportional Valve, Ontology: EnershareWindturbine, Score: 1}  
